KEGG	Cpd	Formula	Mass	Exact Mass	MetaboAnalyst
C18601	Sodium oleate	C18H33O2. Na	304.2378	304.237824	
C18602	Propargite	C19H26O4S	350.1552	350.15518	
C18603	Pyrimidifen	C20H28ClN3O2	377.187	377.187004	
C18604	Forchlorfenuron	C12H10ClN3O	247.0512	247.051239	
C18605	Pyriproxyfen	C20H19NO3	321.1365	321.136493	
C18606	Potassium bicarbonate	KHCO3	99.9563	99.956275	
C18607	Cyhalofop-butyl	C20H20FNO4	357.1376	357.137636	
C18608	Mecoprop-P	C10H11ClO3	214.0397	214.039671	
C18609	Clethodim	C17H26ClNO3S	359.1322	359.132192	
C18610	Monoammonium glycyrrhizinate	C42H62O16. NH3	839.4303	839.430335	
C18611	Phthalide	C8H2Cl4O2	269.8809	269.88089	
C18612	Nonoxynol-9 iodine	C33H60O10. nI2			
C18613	Pyraclonil	C15H15ClN6	314.1047	314.104672	
C18614	Pyridaben	C19H25ClN2OS	364.1376	364.137612	
C18615	Triflumuron	C15H10ClF3N2O3	358.0332	358.033204	
C18616	Methoxymalonyl-[acp]	C4H5O4SR			
C18617	Hydroxymalonyl-[acp]	C3H3O4SR			
C18618	Aminomalonyl-[acp]	C3H4NO3SR			
C18619	4-Dimethylamino-L-phenylalanine	C11H16N2O2	208.1212	208.121177	
C18620	3-Hydroxypicolinic acid	C6H5NO3	139.0269	139.026943	3-Hydroxypicolinic acid
C18621	3-Hydroxyquinaldic acid	C10H7NO3	189.0426	189.042593	
C18622	L-Homotyrosine	C10H13NO3	195.0895	195.089543	
C18623	L-Phenylglycine	C8H9NO2	151.0633	151.063328	
C18624	Quinoxaline-2-carboxylic acid	C9H6N2O2	174.0429	174.042927	
C18625	4-Nitrobenzoate	C7H5NO4	167.0219	167.021857	
C18626	Metalaxyl-M	C15H21NO4	279.1471	279.147058	
C18627	1,3-Dichloropropene	C3H4Cl2	109.969	109.969005	trans-1,3-Dichloropropene
C18628	Thiadiazin	C12H22N4S4	350.0727	350.072731	
C18629	Deoxynogalonate	C20H16O7	368.0896	368.089602	Deoxynogalonate
C18630	Nogalaviketone	C21H16O8	396.0845	396.084517	Nogalaviketone
C18631	Nogalavinone	C21H18O8	398.1002	398.100167	Nogalavinone
C18632	1-OH-Nogalamycinone	C21H18O9	414.0951	414.095082	1-OH-Nogalamycinone
C18633	Nogalamycin	C39H49NO16	787.3051	787.305134	Nogalamycin
C18634	Aclacinomycin T	C30H35NO10	569.2261	569.226096	Aclacinomycin T
C18635	Aclacinomycin S	C36H45NO13	699.2891	699.28909	Aclacinomycin S
C18636	dTDP-2-deoxy-beta-L-fucose	C16H26N2O14P2	532.0859	532.085927	
C18637	Aclacinomycin N	C42H55NO15	813.3572	813.35717	Aclacinomycin N
C18638	Aclacinomycin A	C42H53NO15	811.3415	811.34152	Aclacinomycin A
C18639	Aclacinomycin Y	C42H51NO15	809.3259	809.325869	Aclacinomycin Y
C18640	epsilon-Rhodomycin T	C30H35NO11	585.221	585.22101	epsilon-Rhodomycin T
C18641	15-Demethoxy-epsilon-rhodomycin	C29H33NO11	571.2054	571.20536	15-Demethoxy-epsilon-rhodomycin
C18642	beta-Rhodomycin	C28H33NO10	543.2104	543.210446	beta-Rhodomycin
C18643	dTDP-beta-L-rhodosamine	C18H31N3O13P2	559.1332	559.133212	
C18644	Azinphos-ethyl	C12H16N3O3PS2	345.0371	345.03707	
C18645	Butocarboxim	C7H14N2O2S	190.0776	190.077598	
C18646	Butoxycarboxim	C7H14N2O4S	222.0674	222.067428	
C18647	Calcium arsenate	Ca3(AsO4)2	397.6903	397.690278	
C18648	Lead arsenate	PbHAsO4	347.8857	347.88573	
C18649	Ethiofencarb	C11H15NO2S	225.0823	225.082349	Ethiofencarb
C18650	Furathiocarb	C18H26N2O5S	382.1562	382.156243	
C18651	Methiocarb	C11H15NO2S	225.0823	225.082349	
C18652	Thiofanox	C9H18N2O2S	218.1089	218.108899	
C18653	DNOC	C7H6N2O5	198.0277	198.027671	
C18654	Chlorfenvinphos	C12H14Cl3O4P	357.9695	357.969528	
C18655	Demeton-S-methyl	C6H15O3PS2	230.02	230.020023	
C18656	Dicrotophos	C8H16NO5P	237.0766	237.076609	
C18657	Triazophos	C12H16N3O3PS	313.065	313.064999	
C18658	Famphur	C10H16NO5PS2	325.0208	325.020751	
C18659	Fenamiphos	C13H22NO3PS	303.1058	303.105801	Fenamiphos
C18660	Heptenophos	C9H12ClO4P	250.0162	250.016173	Heptenophos
C18661	Mecarbam	C10H20NO5PS2	329.0521	329.052052	Mecarbam
C18662	Omethoate	C5H12NO4PS	213.0225	213.022466	
C18663	Monocrotophos	C7H14NO5P	223.061	223.060959	(E)-Monocrotophos
C18664	Oxydemeton-methyl	C6H15O4PS2	246.0149	246.014938	
C18665	Thiometon	C6H15O2PS3	245.9972	245.99718	
C18666	Vamidothion	C8H18NO4PS2	287.0415	287.041487	
C18667	Methamidophos	C2H8NO2PS	141.0013	141.001336	(±)-Methamidophos
C18668	Formetanate	C11H15N3O2	221.1164	221.116426	
C18669	Propetamphos	C10H20NO4PS	281.0851	281.085066	
C18670	Mercuric oxide	HgO	217.9655	217.965558	
C18671	Dinoterb	C10H12N2O5	240.0746	240.074621	
C18672	Methylmercury	CH3Hg	216.9941	216.994118	
C18673	Sodium cyanide	NaCN	48.9928	48.992843	
C18674	Zinc phosphide	Zn3P2	253.735	253.73495	
C18675	Fluoroacetamide	C2H4FNO	77.0277	77.027691	
C18676	alpha-Chlorohydrin	C3H7ClO2	110.0135	110.013457	Glycerol alpha-monochlorohydrin
C18677	Chlorethoxyfos	C6H11Cl4O3PS	333.8921	333.892063	
C18678	UWM6	C19H18O6	342.1103	342.110338	UWM6
C18679	2,3-Dehydro-UWM6	C19H16O5	324.0998	324.099773	2,3-Dehydro-UWM6
C18680	Jadomycin A	C24H21NO6	419.1369	419.136887	Jadomycin A
C18681	C1'-C9-Glycosylated UWM6	C25H28O9	472.1733	472.173332	C1'-C9-Glycosylated UWM6
C18682	11-Deoxylandomycinone	C19H14O5	322.0841	322.084123	11-Deoxylandomycinone
C18683	Landomycin H	C25H24O8	452.1471	452.147117	Landomycin H
C18684	Landomycin D	C31H34O12	598.205	598.205026	Landomycin D
C18685	Landomycin E	C37H44O14	712.2731	712.273106	Landomycin E
C18686	Chlormephos	C5H12ClO2PS2	233.9705	233.970486	
C18687	Ethoprophos	C8H19O2PS2	242.0564	242.056409	
C18688	Mevinphos	C7H13O6P	224.045	224.044975	
C18689	Phosphamidon	C10H19ClNO5P	299.0689	299.068937	
C18690	Phorate	C7H17O2PS3	260.0128	260.01283	Phosphatidylcholine O-34:2
C18691	Sulfotep	C8H20O5P2S2	322.0227	322.02274	
C18692	Tebupirimfos	C13H23N2O3PS	318.1167	318.1167	
C18693	Terbufos	C9H21O2PS3	288.0441	288.04413	
C18694	Brodifacoum	C31H23BrO3	522.0831	522.083057	
C18695	Difethialone	C31H23BrO2S	538.0602	538.060213	
C18696	Flocoumafen	C33H25F3O4	542.1705	542.170493	
C18697	Bromethalin	C14H7Br3F3N3O4	574.7939	574.793878	
C18698	Diphenadione	C23H16O3	340.1099	340.109944	
C18699	(-)-Jasmonoyl-L-isoleucine	C18H29NO4	323.2097	323.209658	N-Jasmonoylisoleucine
C18700	Ametryn	C9H17N5S	227.1205	227.120466	
C18701	Azaconazole	C12H11Cl2N3O2	299.0228	299.022831	
C18702	Azamethiphos	C9H10ClN2O5PS	323.9737	323.973657	
C18703	Bensulide	C14H24NO4PS3	397.0605	397.060508	
C18704	Bromuconazole	C13H12BrCl2N3O	374.9541	374.954079	
C18705	Butroxydim	C24H33NO4	399.241	399.240958	
C18706	Butylamine	C4H11N	73.0891	73.089149	sec-Butylamine
C18707	Chloralose	C8H11Cl3O6	307.9621	307.962121	
C18708	Chlorphonium chloride	C19H32Cl2P. Cl	396.1307	396.130721	
C18709	Decaketide tricyclic intermediate	C20H16O8	384.0845	384.084517	Decaketide tricyclic intermediate
C18710	3A-Deolivosylpremithramycin B	C47H62O21	962.3784	962.378359	3A-Deolivosylpremithramycin B
C18711	Mithramycin DK	C52H74O24	1082.457	1082.457003	Mithramycin DK
C18712	Copper hydroxide	Cu(OH)2	96.9351	96.935077	
C18713	Copper sulfate	CuSO4	158.8813	158.881327	
C18714	Cuprous oxide	Cu2O	141.8541	141.85411	
C18715	alpha-Cypermethrin	C22H19Cl2NO3	415.0742	415.074198	
C18716	Diclofop	C15H12Cl2O4	326.0113	326.011264	
C18717	Difenzoquat	C17H17N2	249.1392	249.139173	
C18718	Dimethachlor	C13H18ClNO2	255.1026	255.102606	
C18719	Dimethipin	C6H10O4S2	210.0021	210.002051	
C18720	Diniconazole	C15H17Cl2N3O	325.0749	325.074867	
C18721	Dinobuton	C14H18N2O7	326.1114	326.1114	
C18722	Diphenamid	C16H17NO	239.131	239.131014	
C18723	Dodine	C13H29N3. C2H4O2	287.2573	287.257277	
C18724	Endothal-disodium	C8H8O5. 2Na	230.0167	230.016711	
C18725	Ethion	C9H22O4P2S4	383.9876	383.987617	
C18726	Fenpropidin	C19H31N	273.2457	273.24565	
C18727	Fenazaquin	C20H22N2O	306.1732	306.173213	
C18728	Fentin acetate	C20H18O2Sn	410.0329	410.032881	(Acetyloxy)triphenylstannane
C18729	Fentin hydroxide	C18H16OSn	368.0223	368.022316	Hydroxytriphenylstannane
C18730	Fluchloralin	C12H13ClF3N3O4	355.0547	355.054668	
C18731	Flufenacet	C14H13F4N3O2S	363.0665	363.06646	
C18732	Fluoroglycofen	C16H9ClF3NO7	419.002	419.001963	
C18733	Flusilazole	C16H15F2N3Si	315.1003	315.10033	Flusilazole
C18734	Flutriafol	C16H13F2N3O	301.1027	301.102668	
C18735	Fluxofenim	C12H11ClF3NO3	309.038	309.037955	
C18736	Fomesafen	C15H10ClF3N2O6S	437.99	437.990019	
C18737	Fuberidazole	C11H8N2O	184.0637	184.063662	
C18738	BHC	C6H6Cl6	287.8601	287.860066	
C18739	Enilconazole	C14H14Cl2N2O	296.0483	296.048318	Enilconazole
C18740	Ioxynil octanoate	C15H17I2NO2	496.9349	496.934872	
C18741	MCPA-thioethyl	C11H13ClO2S	244.0325	244.032478	
C18742	Mecoprop	C10H11ClO3	214.0397	214.039671	
C18743	Mefluidide	C11H13F3N2O3S	310.0599	310.059897	
C18744	Metaldehyde	C8H16O4	176.1049	176.104858	
C18745	Methacrifos	C7H13O5PS	240.0221	240.022131	
C18746	Methasulfocarb	C9H11NO4S2	261.0129	261.01295	
C18747	Metolcarb	C9H11NO2	165.079	165.078978	
C18748	Nabam	C4H6N2S4. 2Na	255.9209	255.920921	Nabam
C18749	Naled	C4H7Br2Cl2O4P	377.7826	377.782576	(±)-Naled
C18750	2-Napthyloxyacetic acid	C12H10O3	202.063	202.062994	(2-Naphthalenyloxy)acetic acid
C18751	Nitrapyrin	C6H3Cl4N	228.902	228.901959	
C18752	Octhilinone	C11H19NOS	213.1187	213.118735	
C18753	Oxadixyl	C14H18N2O4	278.1267	278.126657	
C18754	Captafol	C10H9Cl4NO2S	346.9108	346.91081	Captafol
C18755	Pebulate	C10H21NOS	203.1344	203.134385	
C18756	Phosmet	C11H12NO4PS2	316.9945	316.994537	
C18757	Phoxim	C12H15N2O3PS	298.0541	298.0541	
C18758	Piperophos	C14H28NO3PS2	353.1248	353.124823	
C18759	Propachlor	C11H14ClNO	211.0764	211.076391	
C18760	Prosulfocarb	C14H21NOS	251.1344	251.134385	
C18761	Pyrazophos	C14H20N3O5PS	373.0861	373.086128	
C18762	Pyridafenthion	C14H17N2O4PS	340.0647	340.064665	
C18763	Quizalofop	C17H13ClN2O4	344.0564	344.056384	
C18764	Quizalofop-P-tefuryl	C22H21ClN2O5	428.1139	428.113899	
C18765	Sodium chlorate	O3Cl. Na	105.9434	105.943365	
C18766	Sulfluramid	C10H6F17NO2S	526.9848	526.984778	
C18767	2,3,6-TBA	C7H3Cl3O2	223.9199	223.919862	
C18768	Terbumeton	C10H19N5O	225.159	225.15896	
C18769	Tralkoxydim	C20H27NO3	329.1991	329.199093	
C18770	Triazamate	C13H22N4O3S	314.1413	314.141261	
C18771	XMC	C10H13NO2	179.0946	179.094628	3,5-Dimethylphenyl methylcarbamate
C18772	Alloxydim	C17H25NO5	323.1733	323.173272	
C18773	Ammonium sulfamate	NH4SO3NH2	114.0099	114.009913	
C18774	Ancymidol	C15H16N2O2	256.1212	256.121177	
C18775	Benazolin	C9H6ClNO3S	242.9757	242.975691	
C18776	Bupirimate	C13H24N4O3S	316.1569	316.156911	
C18777	Chlorimuron	C13H11ClN4O6S	386.0088	386.008782	
C18778	8-D-Olivosyl-landomycin	C25H24O9	468.142	468.142032	8-D-Olivosyl-landomycin
C18779	Clopyralid	C6H3Cl2NO2	190.9541	190.954083	
C18780	Cycloate	C11H21NOS	215.1344	215.134385	
C18781	Diafenthiuron	C23H32N2OS	384.2235	384.223534	
C18782	Dichlormid	C8H11Cl2NO	207.0218	207.021769	
C18783	Dimefuron	C15H19ClN4O3	338.1146	338.114568	
C18784	Dimethirimol	C11H19N3O	209.1528	209.152812	
C18785	Dinitramine	C11H13F3N4O4	322.0889	322.088889	
C18786	Dodemorph	C18H35NO	281.2719	281.271864	
C18787	Fenpropimorph	C20H33NO	303.2562	303.256214	
C18788	Flamprop-M	C16H13ClFNO3	321.0568	321.056799	
C18789	Fosamine	C3H8NO4P	153.0191	153.019094	
C18790	tau-Fluvalinate	C26H22ClF3N2O3	502.1271	502.127104	
C18791	Halofenozide	C18H19ClN2O2	330.1135	330.113505	
C18792	Methyldymron	C17H20N2O	268.1576	268.157563	
C18793	Metobromuron	C9H11BrN2O2	258.0004	258.00039	
C18794	Monolinuron	C9H11ClN2O2	214.0509	214.050905	
C18795	MGK 264	C17H25NO2	275.1885	275.188529	
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	C5H9NO	99.0684	99.068413	(2R)-2-Hydroxy-2-methylbutanenitrile
C18797	(S)-Hydroxynitrile	C2HNO(R1)(R2)			
C18798	5,10-Methylene-H4SPT	C36H52N7O19P	917.3056	917.305559	
C18799	5-Methyl-H4SPT	C36H54N7O19P	919.3212	919.321209	5-Methyl-H4SPT
C18800	Ofurace	C14H16ClNO3	281.0819	281.081871	
C18801	Penconazole	C13H15Cl2N3	283.0643	283.064302	
C18802	Tetrahydrosarcinapterin	C35H52N7O19P	905.3056	905.305559	Tetrahydrosarcinapterin
C18803	Pyridate	C19H23ClN2O2S	378.1169	378.116876	
C18804	Pyrifenox	C14H12Cl2N2O	294.0327	294.032668	
C18805	Pyrithiobac-sodium	C13H10ClN2O4S. Na	347.9948	347.994749	
C18806	Quinclorac	C10H5Cl2NO2	240.9697	240.969733	
C18807	Spirotetramat	C21H27NO5	373.1889	373.188922	
C18808	TCA-sodium	C2Cl3O2. Na	183.8862	183.886156	
C18809	Temefos	C16H20O6P2S3	465.9897	465.989725	
C18810	Terbuthylazine	C9H16ClN5	229.1094	229.109423	
C18811	Terbutryn	C10H19N5S	241.1361	241.136116	
C18812	Thidiazuron	C9H8N4OS	220.0419	220.041882	
C18813	Tri-allate	C10H16Cl3NOS	303.0018	303.001818	
C18814	Trietazine	C9H16ClN5	229.1094	229.109423	
C18815	Triticonazole	C17H20ClN3O	317.1295	317.129489	
C18816	Cryolite	Na3AlF6	209.9413	209.941265	
C18817	Chlorotoluron	C10H13ClN2O	212.0716	212.07164	
C18818	Cinosulfuron	C15H19N5O7S	413.1005	413.100519	
C18819	Cloxyfonac-sodium	C9H8ClO4. Na	238.0009	238.00088	
C18820	Dichlofluanid	C9H11Cl2FN2O2S2	331.9623	331.962303	
C18821	Diclosulam	C13H10Cl2FN5O3S	404.9865	404.986543	
C18822	Landomycin A	C55H74O22	1086.4672	1086.467174	
C18823	Landomycin B	C49H64O20	972.3991	972.399094	
C18824	Landomycin J	C43H54O17	842.3361	842.3361	
C18825	Dikegulac	C12H18O7	274.1053	274.105252	
C18826	Dithiopyr	C15H16F5NO2S2	401.0543	401.054261	
C18827	Ethalfluralin	C13H14F3N3O4	333.0936	333.09364	
C18828	Ethirimol	C11H19N3O	209.1528	209.152812	
C18829	Ethofumesate	C13H18O5S	286.0875	286.087494	
C18830	Ethyl 3-(N-butylacetamido)propionate	C11H21NO3	215.1521	215.152143	
C18831	Fenchlorazole-ethyl	C12H8Cl5N3O2	400.9059	400.905914	
C18832	Fenclorim	C10H6Cl2N2	223.9908	223.990803	
C18833	Fenfuram	C12H11NO2	201.079	201.078978	
C18834	Propylmalonyl-CoA	C27H44N7O19P3S	895.1626	895.162554	
C18835	(R)-DNPA	C16H14O5	286.0841	286.084123	(R)-DNPA
C18836	Griseophenone C	C16H16O6	304.0947	304.094688	Griseophenone C
C18837	Griseophenone B	C16H15ClO6	338.0557	338.055715	Griseophenone B
C18838	Dehydrogriseofulvin	C17H15ClO6	350.0557	350.055715	Dehydrogriseofulvin
C18839	Prechromomycin B	C53H72O24	1092.4414	1092.441353	
C18840	R1128A	C17H14O5	298.0841	298.084123	
C18841	R1128B	C18H16O5	312.0998	312.099773	
C18842	R1128C	C19H18O5	326.1154	326.115423	
C18843	R1128D	C19H18O5	326.1154	326.115423	
C18844	Spiramycin III	C46H78N2O15	898.5402	898.540219	
C18845	Mycinamicin I	C37H61NO12	711.4194	711.419376	Mycinamicin I
C18846	Mycinamicin IV	C37H61NO11	695.4245	695.424461	
C18847	Mycinamicin V	C37H61NO12	711.4194	711.419376	Mycinamicin V
C18848	Chalcolactone	C20H30O5	350.2093	350.209324	
C18849	Flumetralin	C16H12ClF4N3O4	421.0452	421.045246	
C18850	Florasulam	C12H8F3N5O3S	359.03	359.029994	
C18851	Flucarbazone-sodium	C12H10F3N4O6S. Na	418.0171	418.017084	
C18852	Flumetsulam	C12H9F2N5O2S	325.0445	325.044502	
C18853	Fluometuron	C10H11F3N2O	232.0823	232.082347	
C18854	Flupropanate	C3H2F4O2	145.9991	145.999091	
C18855	Flupyrsulfuron-methyl sodium	C15H14F3N5O7S. Na	488.0464	488.046372	
C18856	Flurecol	C14H10O3	226.063	226.062994	
C18857	Fluridone	C19H14F3NO	329.1027	329.102748	
C18858	Fluroxypyr	C7H5Cl2FN2O3	253.9661	253.966125	
C18859	Fluthiacet	C14H13ClFN3O3S2	389.0071	389.007089	
C18860	Folpet	C9H4Cl3NO2S	294.9028	294.902832	Folpet
C18861	Hexaflumuron	C16H8Cl2F6N2O3	459.9816	459.981616	
C18862	Hydroprene	C17H30O2	266.2246	266.22458	
C18863	2-(Octylthio)ethanol	C10H22OS	190.1391	190.139136	
C18864	Imazapyr	C13H15N3O3	261.1113	261.111341	
C18865	Imazethapyr	C15H19N3O3	289.1426	289.142641	
C18866	Iprovalicarb	C18H28N2O3	320.21	320.209992	
C18867	Metosulam	C14H13Cl2N5O4S	417.0065	417.00653	Metosulam
C18868	Napropamide	C17H21NO2	271.1572	271.157228	
C18869	Naptalam	C18H13NO3	291.0895	291.089543	
C18870	Selenodiglutathione	C20H32N6O12S2Se	692.0685	692.068484	Selenodiglutathione
C18871	Glutathioselenol	C10H17N3O6SSe	387.0003	387.000328	
C18872	Trimethylselenonium	C3H9Se	124.9869	124.986947	Trimethylselenonium
C18873	Nitrothal-isopropyl	C14H17NO6	295.1056	295.105587	
C18874	Norflurazon	C12H9ClF3N3O	303.0386	303.038624	
C18875	Novaluron	C17H9ClF8N2O4	492.0123	492.012309	
C18876	Noviflumuron	C17H7Cl2F9N2O3	527.969	527.969	
C18877	Oryzalin	C12H18N4O6S	346.0947	346.094705	
C18878	Oxabetrinil	C12H12N2O3	232.0848	232.084792	
C18879	Oxine-copper	(C9H6NO)2. Cu	351.0195	351.019475	
C18880	Piperonyl butoxide	C19H30O5	338.2093	338.209324	
C18881	Oxyfluorfen	C15H11ClF3NO4	361.0329	361.03287	
C18882	Pentanochlor	C13H18ClNO	239.1077	239.107691	
C18883	Primisulfuron	C14H10F4N4O7S	454.0206	454.020632	
C18884	Prodiamine	C13H17F3N4O4	350.1202	350.120189	
C18885	Propamocarb	C9H20N2O2	188.1525	188.152477	
C18886	Propaquizafop	C22H22ClN3O5	443.1248	443.124798	
C18887	Propham	C10H13NO2	179.0946	179.094628	
C18888	Prothioconazole	C14H15Cl2N3OS	343.0313	343.031288	
C18889	Pyrazosulfuron	C12H14N6O7S	386.0645	386.064467	
C18890	Pyriminobac	C16H17N3O6	347.1117	347.111735	
C18891	Quinmerac	C11H8ClNO2	221.0244	221.024356	
C18892	Quinoxyfen	C15H8Cl2FNO	306.9967	306.996697	
C18893	1-Methylseleno-N-acetyl-D-galactosamine	C9H17NO5Se	299.0272	299.027194	1-Methylseleno-N-acetyl-D-galactosamine
C18894	Spinetoram	C42H69NO10	747.4921	747.492147	
C18895	Sulfometuron	C14H14N4O5S	350.0685	350.06849	
C18896	Tebutam	C15H23NO	233.178	233.177964	
C18897	Tecnazene	C6HCl4NO2	258.8761	258.876139	Tecnazene
C18898	Tiocarbazil	C16H25NOS	279.1657	279.165685	
C18899	Tolylfluanid	C10H13Cl2FN2O2S2	345.978	345.977953	
C18900	Tribenuron	C14H15N5O6S	381.0743	381.074304	
C18901	Triflusulfuron-methyl	C17H19F3N6O6S	492.1039	492.103888	
C18902	Methylselenic acid	CH4O2Se	127.9377	127.937651	Methylselenic acid
C18903	Zoxamide	C14H16Cl3NO2	335.0247	335.024661	
C18904	Methylselenopyruvate	C4H6O3Se	181.9482	181.948215	Methylselenopyruvate
C18905	Methylselenocysteine Se-oxide	C4H9NO3Se	198.9748	198.974764	Methylselenocysteine Se-oxide
C18906	Aldoxycarb	C7H14N2O4S	222.0674	222.067428	
C18907	Benodanil	C13H10INO	322.9807	322.98071	
C18908	Chloraniformethan	C9H7Cl5N2O	333.9001	333.900101	
C18909	Cyprofuram	C14H14ClNO3	279.0662	279.06622	
C18910	2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one	C9H18N5O8P	355.0893	355.089299	2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one
C18911	(R)-4-Phosphopantoate	C6H13O7P	228.0399	228.039889	(R)-4-Phosphopantoate
C18912	Furmecyclox	C14H21NO3	251.1521	251.152143	
C18913	Mebenil	C14H13NO	211.0997	211.099714	
C18914	Pyracarbolid	C13H15NO2	217.1103	217.110278	
C18915	Salicylanilide	C13H11NO2	213.079	213.078978	
C18916	Trichlamide	C13H16Cl3NO3	339.0196	339.019576	
C18917	Cypendazole	C16H19N5O3	329.1488	329.148789	
C18918	Thiophanate	C14H18N4O4S2	370.0769	370.076947	
C18919	Furconazole-cis	C15H14Cl2F3N3O2	395.0415	395.041516	
C18920	Fluoromidine	C7H3ClF3N3	220.9968	220.996759	
C18921	Myclozolin	C12H11Cl2NO4	303.0065	303.006513	
C18922	Dinocton 6	C16H22N2O7	354.1427	354.142701	
C18923	Carbamorph	C8H16N2OS2	220.0704	220.070405	
C18924	Benquinox	C13H11N3O2	241.0851	241.085126	
C18925	Ditalimfos	C12H14NO4PS	299.0381	299.038116	
C18926	Phosdiphen	C14H11Cl4O4P	413.9149	413.914906	
C18927	Triamiphos	C12H19N6OP	294.1358	294.135796	
C18928	Dichlozoline	C11H9Cl2NO3	272.9959	272.995948	
C18929	Drazoxolon	C10H8ClN3O2	237.0305	237.030504	
C18930	Buthiobate	C21H28N2S2	372.1694	372.169391	
C18931	Pyridinitril	C13H5Cl2N3	272.9861	272.986052	
C18932	Triarimol	C17H12Cl2N2O	330.0327	330.032668	
C18933	Chloranil	C6Cl4O2	243.8652	243.865239	Chloranil
C18934	Metsulfovax	C12H12N2OS	232.067	232.067034	
C18935	Anilazine	C9H5Cl3N4	273.958	273.957979	
C18936	Chlorquinox	C8H2Cl4N2	265.8972	265.897208	
C18937	Fenaminosulf	C8H10N3O3S. Na	251.0341	251.034056	
C18938	Fenitropan	C13H15NO6	281.0899	281.089937	
C18939	Fluotrimazole	C22H16F3N3	379.1296	379.129632	
C18940	Glyodin	C20H40N2. C2H4O2	368.3403	368.340278	
C18941	Halacrinate	C12H7BrClNO2	310.9349	310.934868	
C18942	Mecarbinzid	C13H16N4O3S	308.0943	308.094311	
C18943	Prothiocarb	C8H18N2OS	190.114	190.113984	
C18944	Quinacetol sulfate	(C11H9NO2)2. H2SO4	472.094	472.094036	
C18945	Thicyofen	C8H5ClN2OS2	243.9532	243.953182	
C18946	Thioquinox	C9H4N2S3	235.9537	235.953661	
C18947	Allyxycarb	C16H22N2O2	274.1681	274.168127	
C18948	Bufencarb	(C13H19NO2)2	442.2832	442.283157	
C18949	Butacarb	C16H25NO2	263.1885	263.188529	
C18950	Carbanolate	C10H12ClNO2	213.0557	213.055656	
C18951	Cloethocarb	C11H14ClNO4	259.0611	259.061135	
C18952	Mexacarbate	C12H18N2O2	222.1368	222.136827	
C18953	Dioxacarb	C11H13NO4	223.0845	223.084457	
C18954	Nitrilacarb	C9H15N3O2	197.1164	197.116426	
C18955	Promacyl	C16H23NO3	277.1678	277.167793	
C18956	Promecarb	C12H17NO2	207.1259	207.125928	
C18957	2,3,5-Trimethacarb	C11H15NO2	193.1103	193.110278	
C18958	Bromocyclen	C8H5BrCl6	389.7706	389.770578	
C18959	Chlorbicyclen	C9H6Cl8	393.7978	393.797771	
C18960	Isobenzan	C9H4Cl8O	407.777	407.777036	
C18961	Isodrin	C12H8Cl6	361.8757	361.875716	
C18962	Kelevan	C17H12Cl10O4	629.7621	629.762085	
C18963	Amidithion	C7H16NO4PS2	273.0258	273.025837	
C18964	Athidathion	C8H15N2O4PS3	329.9932	329.993157	
C18965	Bromofos	C8H8BrCl2O3PS	363.8492	363.84922	
C18966	Bromophos-ethyl	C10H12BrCl2O3PS	391.8805	391.88052	
C18967	Butonate	C8H14Cl3O5P	325.9644	325.964443	
C18968	Carbophenothion	C11H16ClO2PS3	341.9739	341.973857	
C18969	Chlorphoxim	C12H14ClN2O3PS	332.0151	332.015128	
C18970	Chlorthiophos	C11H15Cl2O3PS2	359.9577	359.957729	
C18971	Crotoxyphos	C14H19O6P	314.0919	314.091925	
C18972	Crufomate	C12H19ClNO3P	291.0791	291.079108	
C18973	Cyanofenphos	C15H14NO2PS	303.0483	303.048286	
C18974	Cyanthoate	C10H19N2O4PS	294.0803	294.080315	
C18975	Demephion-O	C5H13O3PS2	216.0044	216.004373	
C18976	Demephion-S	C5H13O3PS2	216.0044	216.004373	
C18977	Demeton-O	C8H19O3PS2	258.0513	258.051323	
C18978	Demeton-S	C8H19O3PS2	258.0513	258.051323	
C18979	Demeton-S-methylsulphon	C6H15O5PS2	262.0099	262.009852	
C18980	Dimefox	C4H12FN2OP	154.0671	154.067128	
C18981	Salithion	C8H9O3PS	216.001	216.001002	
C18982	Endothion	C9H13O6PS	280.017	280.017046	
C18983	Ethoate-methyl	C6H14NO3PS2	243.0153	243.015272	
C18984	Oxydeprofos	C7H17O4PS2	260.0306	260.030588	
C18985	Etrimfos	C10H17N2O4PS	292.0647	292.064665	Etrimfos
C18986	Fenchlorphos	C8H8Cl3O3PS	319.8997	319.899735	
C18987	Fonofos	C10H15OPS2	246.0302	246.030194	
C18988	Formothion	C6H12NO4PS2	256.9945	256.994537	
C18989	Fosmethilan	C13H19ClNO3PS2	367.0232	367.02325	
C18992	Vinylidene chloride-vinyl chloride copolymer	(C2H2Cl2)n. (C2H3Cl)n			Vinyl chloride-vinylidene chloride copolymer
C18993	2,5-Xylidine	C8H11N	121.0891	121.089149	
C18999	Fosthietan	C6H12NO3PS2	240.9996	240.999622	
C19000	IPSP	C9H21O3PS3	304.039	304.039045	
C19001	Isazofos	C9H17ClN3O3PS	313.0417	313.041677	
C19002	Iodofenphos	C8H8Cl2IO3PS	411.8354	411.835354	
